2025-04-14 12:57:59.654945 | ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | success | ../FileEncSam/sample.txt.enc
2025-04-14 13:50:58.057200 | BATCH-ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | success | ../FileEnc/sample.txt.enc
2025-04-14 13:50:58.109471 | BATCH-ENCRYPT | ../FileEncSam/sample2.txt | aes-cbc | success | ../FileEnc/sample2.txt.enc
2025-04-14 16:32:02.308258 | ENCRYPT | ../FileEncSam/sample.txt | aes-cbc | success | ../FileEnc/SammyEnc.txt
2025-04-15 19:11:18.170323 | ENCRYPT | Devraj_print.pdf | aes-cbc | error: encrypt() got an unexpected keyword argument 'preserve_extension' | N/A
2025-04-15 19:17:24.114259 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc
2025-04-15 19:17:59.996974 | DECRYPT | DevEnc | aes-cbc | success | DevDec.pdf
2025-04-15 19:56:15.400103 | ENCRYPT | Devraj_print.pdf | aes-cbc | error: encrypt() got an unexpected keyword argument 'preserve_extension' | N/A
2025-04-15 19:59:28.901910 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc
2025-04-15 20:16:30.896263 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc
2025-04-15 20:18:34.153823 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc
2025-04-15 20:21:31.442476 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc
2025-04-15 20:21:57.009193 | DECRYPT | DevEnc | aes-cbc | success | DevDec
2025-04-15 20:43:06.432853 | ENCRYPT | Devraj_print.pdf | AES-CBC | error: 'AES-CBC' | N/A
2025-04-15 20:47:29.025197 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc
2025-04-15 20:52:23.696907 | DECRYPT | DevEnc | aes-cbc | error: Decryption failed. Possibly due to wrong password or corrupted file. | N/A
2025-04-15 20:52:59.980384 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc
2025-04-15 20:53:14.867874 | DECRYPT | DevEnc | aes-cbc | success | DevDec
2025-04-15 22:01:15.209016 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc.pdf
2025-04-15 22:01:48.269470 | DECRYPT | DevEnc.pdf | aes-cbc | success | DevDec.bin
2025-04-15 22:07:09.525169 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc.pdf
2025-04-15 22:07:26.601561 | DECRYPT | DevEnc.pdf | aes-cbc | success | DevDec
2025-04-15 22:11:25.666562 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | DevEnc.pdf
2025-04-15 22:11:45.143350 | DECRYPT | DevEnc.pdf | aes-cbc | success | DevDec
2025-04-16 09:04:27.781996 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | Devraj_print.pdf.enc
2025-04-16 09:06:19.968564 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | Devraj_print.pdf.enc
2025-04-16 09:06:51.243453 | DECRYPT | Devraj_print.pdf.enc | aes-cbc | success | decrypted_Devraj_print.pdf
2025-04-16 09:09:18.250745 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | Devraj_print.pdf.enc
2025-04-16 09:10:03.232737 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | Devraj_print.pdf.enc
2025-04-16 09:13:54.358613 | ENCRYPT | Devraj_print.pdf | aes-cbc | error: [Errno 2] No such file or directory: '' | N/A
2025-04-16 09:14:15.534963 | ENCRYPT | Devraj_print.pdf | aes-cbc | error: [Errno 2] No such file or directory: '' | N/A
2025-04-16 09:17:24.431023 | ENCRYPT | Devraj_print.pdf | aes-cbc | error: [Errno 2] No such file or directory: '' | N/A
2025-04-16 09:22:53.311822 | ENCRYPT | Devraj_print.pdf | aes-cbc | error: cannot access local variable 'output_file' where it is not associated with a value | N/A
2025-04-16 09:24:05.388591 | ENCRYPT | Devraj_print.pdf | aes-cbc | error: [Errno 2] No such file or directory: '' | N/A
2025-04-16 09:26:05.319935 | ENCRYPT | Devraj_print.pdf | aes-cbc | error: [Errno 2] No such file or directory: '' | N/A
2025-04-16 09:27:34.550780 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-16 09:30:04.474996 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
